Image,Accuracy,Jaccard,Dice,TPR,TNR,FPR,FNR,Time(sec)
000001.png,0.9985690235690236,0.8452787258248009,0.9161528976572133,0.8834720570749108,0.9995965986900073,0.0004034013099926751,0.11652794292508918,1.6383566856384277
000002.png,0.9940551346801347,0.8540994189799871,0.9213091922005571,0.8632389403627821,0.999550480492498,0.000449519507502042,0.1367610596372178,1.6273207664489746
000007.png,0.9913117828773168,0.8079853703139287,0.8937963587322993,0.8141058450199611,0.9996438317923443,0.0003561682076556912,0.1858941549800389,1.746062994003296
000010.png,0.9683360551624025,0.0,0.0,0.0,0.9737605605532543,0.026239439446745616,1.0,1.7446355819702148
000011.png,0.9779303451178452,0.5810027966440272,0.7349800998167919,0.586095717884131,0.9995170825122811,0.00048291748771890874,0.413904282115869,1.6142385005950928
000014.png,0.9508165487207403,0.6163889183738457,0.7626740215392698,0.6204943724177233,0.9990278846353787,0.0009721153646212389,0.3795056275822767,1.7545132637023926
000018.png,0.9472132634549486,0.7892862890247827,0.882235887980753,0.8434980759722253,0.9789696096048657,0.021030390395134376,0.1565019240277748,1.5843029022216797
000019.png,0.9865853658536585,0.0,0.0,0.0,0.9890774982317874,0.01092250176821259,1.0,1.6202099323272705
000022.png,0.9474310928433269,0.49722511272979536,0.6641955287848952,0.5012529867707909,0.9990625906218599,0.0009374093781401528,0.49874701322920917,1.3467507362365723
000023.png,0.9977430555555555,0.8517622667588113,0.9199477514461654,0.8529411764705882,0.999978631337144,2.136866285592179e-05,0.14705882352941177,1.8075571060180664
000025.png,0.9673170731707317,0.43535721126221033,0.606618628235922,0.6216327088746069,0.9819223858522015,0.018077614147798505,0.37836729112539313,1.5982270240783691
000030.png,0.9279254702440222,0.0,0.0,0.0,1.0,0.0,1.0,1.8535571098327637
000031.png,0.9398357186051199,0.0011712540784740233,0.0023397676944931895,0.0013623978201634877,0.991087561914075,0.008912438085925045,0.9986376021798365,1.7140796184539795
000032.png,0.9969470150607875,0.8687597503900156,0.9297714703120109,0.8869201672307386,0.9995125732880877,0.0004874267119122446,0.1130798327692614,1.8308706283569336
Mean,0.9708583532082581,0.51059407959862,0.5881444003143121,0.5339296032784729,0.9936219492518418,0.006378050748158214,0.466070396721527,1.677191632134574
St Dev,0.023542077641414638,0.3489186198772786,0.3839976517316823,0.35748839193510795,0.00882201566753394,0.008822015667533944,0.35748839193510795,0.12638056468797115
